,Site,Tag
64,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-ateliers-kennedy.html,"Activités : Espaces-verts, mise à disposition enéquipe ou en individuel en entreprise, nettoyage industriel, édition, mise sous-pli, routage, soudure à l'étain, conditionnement à façon, fabrication de cadres, montages mécaniques, menuiseries aluminium."
65,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-catar.html,"Activités : restauration collective, blanchisserie, sous-traitance, espaces verts."
66,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-centre-thierry-albouy.html,"Activités : Travail du bois, du fer, vernissage, thermo-laquage, espaces-verts, nettoyage vitres et locaux, travaux de conditionnement."
67,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-de-montfloures-via-europa.html,"Activités : Espaces verts, entretien de surface, blanchisserie, sous-traitance et conditionnement, restauration"
68,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-de-plaisance.html,"Activités : Blanchisserie, espaces verts, restauration collective, hygiène et entretien des locaux."
69,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-hors-les-murs-la-palanca.html,"Activités : ESAT ""hors les murs"", l'objectif est une mise à disposition des travailleurs en milieu de travail ordinaire. L'activité sera adaptée en fonction du projet et des capacités professionnels de la personne."
70,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-lenvol.html,"Activités : Espaces-verts, conditionnement, façonnage, imprimerie, blanchisserie, ateliers gourmands, détachement en entreprises."
71,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-lenvol-1.html,"Activités : Viticulture, espaces-verts, restauration collective, blanchisserie, atelier de conditionnement."
72,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-la-bulle-bleue.html,"Activités : Pôle artistique de création théâtrale et de régie technique, pôle service traiteur et restauration collective, pôle jardin et création."
73,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-la-croix-verte.html,"Activités : Espaces-verts (création et entretien), horticulture (en serres), conditionnement, prestations de services."
74,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-le-roc-castel.html,"Activités : Blanchisserie, peinture et papiers-peints, fabrication de cagettes, horticulture, entretien des espaces-verts, pâtisserie, restauration"
75,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-les-ateliers-de-la-vallee-de-lherault.html,"Activités : Métallerie, bois, espaces-verts, peinture, dégraissage, montage, emballage, assemblage, cuisine."
76,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-les-ateliers-de-saporta.html,"Activités : Création et entretien d'spaces-verts. Entretien des locaux. Restauration collective et service traiteur. Façonnage, routage. Maçonnerie, 2nd oeuvre.   Location et installation de tables de concours. Activités diverses à la demande (travail industriel du bois, nettoyage industriel)."
77,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-les-ateliers-du-garric.html,"Activités : menuiserie, espaces-verts, maçonnerie, bûcheronnage, peinture, blanchisserie, entretien des locaux, prestations de services diverses."
78,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-les-compagnons-de-maguelone.html,"Activités : Viticulture, conchyliculture, pêche traditionnelle, travaux à façon alu-acier, prestations de services (espaces verts, accueil visiteurs), séminaires : location de salles et service restauration, espace vente : vins, coquillages, poissons."
79,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-les-hautes-garrigues.html,"Activités : Restauration, espaces-verts, blanchisserie, sous-traitance."
80,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-peyreficade.html,"Activités : Espaces verts, mécanique, reprographie, sous-traitance, conditionnement."
81,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-via-domitia.html,"Activités : Espaces-verts, restauration, blanchisserie, ateliers d'arts."
82,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/section-annexe-esat-ateliers-kennedy.html,Observations : Travailleurs en ESAT
83,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/section-annexe-esat-lenvol.html,"
Type de déficience :
                                
                                Déficiences intellectuelles
                            
                            "
84,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/section-annexe-esat-les-hautes-garrigues.html,Commentaires : Travailleurs en ESAT
85,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/section-annexe-esat-via-europa.html,Commentaires : Travailleurs de l'ESAT Via Europa
86,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/entreprise-adaptee-apf-entreprises-34.html,Observations : Câblages électrique et électronique. Recyclage de cartouches d'imprimantes. Déconstruction de matériel informatique. Fabrication de volets roulants.
87,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/entreprise-adaptee-de-letang-de-lor.html,"Activités : Espace verts, détachement en entreprise, numérisation"
88,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/entreprise-adaptee-des-hautes-garrigues.html,"
Type de déficience :
                                
                                Déficiences intellectuelles
                            
                            "
89,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/entreprise-adaptee-gdeas.html,"Observations : Conseils, analyse de pratiques, ressources humaines, prestations de service."
90,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/entreprise-adaptee-hankor-pvc.html,Observations : Le handicap doit être compatible avec une activité de production.
91,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/entreprise-adaptee-les-ateliers-de-la-vallee-de-lherault.html,"Activités : Métallerie, bois (bâtiments et panneaux), mobilier urbain. Magasin d'usine de produits en bois régionaux. Espaces verts"
92,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/entreprise-adaptee-les-ateliers-de-saporta.html,Commentaires : Le handicap doit être compatible avec une activité de production.
93,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/entreprise-adaptee-nodixia-recycling-services.html,Activités : Recyclage et reconditionnement de matériels informatiques et téléphone mobiles.
94,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/entreprise-adaptee-planeteco-recyclage.html,Activités : Recyclage. Reconditionnement. Traitement de déchets d'équipements électriques et électroniques.
95,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/entreprise-adaptee-triade-avenir-sud.html,Observations : Le handicap doit être compatible avec une activité de production.
96,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/entreprise-adaptee-via-europa.html,"Activités : Espaces-verts, collecte des déchets médicaux (DASRI), transport de biens de l'ESAT (blanchisserie, restauration)."
97,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/savs-simes-service-dinterpretation-de-mediation-pour-sourd.html,"
Type de déficience :
                                
                                Déficiences auditives
                            
                            "
98,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/savs-airis.html,"
Type de déficience :
                                
                                Troubles psychopathologiques ; 
                            
                                Déficience intellectuelle avec troubles associés
                            
                            "
99,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/savs-centre-herault.html,"
Type de déficience :
                                
                                Déficiences intellectuelles
                            
                            "
100,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/savs-du-lunellois.html,"
Type de déficience :
                                
                                Déficiences intellectuelles ; 
                            
                                Troubles psychopathologiques
                            
                            "
101,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/savs-le-cap-pole-est-montpellier.html,"
Type de déficience :
                                
                                Déficiences motrices
                            
                            "
102,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/savs-le-cap-pole-ouest-montblanc.html,"
Type de déficience :
                                
                                Déficiences motrices
                            
                            "
103,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/savs-le-caroux.html,Commentaires : Antenne à Saint-Pons-de-Thomières
104,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/savs-lis-aureto.html,"
Type de déficience :
                                
                                Déficiences intellectuelles
                            
                            "
105,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/savs-lou-camin.html,"
Type de déficience :
                                
                                Déficience grave du psychisme consécutive à lésion cérébrale
                            
                            "
106,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/savs-ma-residence.html,"Commentaires : Antenne ou implantations du SAVS : Agde, Béziers, Clermont-l'Hérault, Florensac, Lodève, Pézenas, Sète."
107,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/savs-plaisance.html,"
Type de déficience :
                                
                                Troubles psychopathologiques ; 
                            
                                Déficiences intellectuelles
                            
                            "
108,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/savs-tony-laine.html,"
Type de déficience :
                                
                                Troubles psychopathologiques ; 
                            
                                Déficience intellectuelle avec troubles associés
                            
                            "
109,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/samsah-sappa-service-dadaptation-pour-personnes-aveugles-gravement-malvoyantes-de-la-faf-lr.html,"Observations : Antenne de Béziers : 7, rue Albert Marc"
110,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/samsah-apf.html,"
Type de déficience :
                                
                                Déficiences auditives
                            
                            "
111,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/samsah-apf-montblanc.html,"
Type de déficience :
                                
                                Déficiences intellectuelles
                            
                            "
112,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/samsah-avh.html,Effectifs : 10 suivis
113,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/samsah-gihp.html,"
Type de déficience :
                                
                                Déficiences motrices
                            
                            "
114,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/samsah-les-vents-du-sud.html,"
Type de déficience :
                                
                                Déficience grave du psychisme consécutive à lésion cérébrale
                            
                            "
115,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/samsah-tony-laine.html,"
Type de déficience :
                                
                                Troubles psychopathologiques
                            
                            "
116,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/gem-les-beaux-arts-des-tc.html,"
Type de déficience :
                                
                                Déficience grave du psychisme consécutive à lésion cérébrale
                            
                            "
