Colonne1;Association;Contact;Longitude;Latitude;Icon;Adresse;Téléphone;Mail;Lien
66;ALSH municipal Astérix (maternel & élémentaire);Directeur ???                                                    Domaine de Grammont<br>Avenue Albert Einstein<br>06 77 76 58 26;3.9309275;43.6152155;#icon-1502-0288D1;Avenue Albert Einstein, 34000 Montpellier;06 77 76 58 26;;
67;ALSH municipal Jean Moulin (élémentaire);Directrice Rizlene                                                   École Moulin<br>20 boulevard Mounié<br>06 17 90 60 67                              rizlene.kebdani@ville-montpellier.fr;3.8913425;43.6187042;#icon-1502-0288D1;;06 17 90 60 67;rizlene.kebdani@ville-montpellier.fr;
68;ALSH municipal Bergman (maternel);Directeur ???                                                         Écoles Moulin / Bergman<br>20 boulevard Mounié<br>06 17 90 60 67;3.8909215;43.6190517;#icon-1502-0288D1;20 boulevard Mounié, 34000 Montpellier;06 17 90 60 67;;
69;ALSH municipal Juvignac;Directeur Phong-Nguyen LÊ    06.80.43.52.17         Groupe scolaire Nelson Mandela                        20 rue Neptune;3.8070538;43.6211171;#icon-1899-0288D1;20 rue Neptune, 34990 Juvignac;06 80 43 52 17;;
70;ALSH municipal la maison des enfants;Directrice Caroline DOUZAL 06.11.83.01.37    Ecole Jules Ferry                                                       2 rue des écoles;3.9284476;43.6830889;#icon-1899-0288D1;2 rue des écoles, 34820 Teyran;06 11 83 01 37;;
71;ALSH municipal Prades-le-lez;Directeur Maxime RICHARD 04.67.06.59.96     205 chemin des mazes;3.8667802;43.7006642;#icon-1899-0288D1;205 chemin des mazes, 34730 Prades-le-Lez;04 67 06 59 96;;
72;ALSH municipal Montferrier (maternel & élémentaire);Agnès Avinens 04.67.59.54.99 ou 06.87.60.97.42  esj.m@wanadoo.fr                                4 impasse du chateau;3.861002;43.666682;#icon-1899-0288D1;4 impasse du château, 34980 Montferrier-sur-Lez;04 67 59 54 99 ;esj.m@wanadoo.fr;
73;ALSH municipal Clapiers (maternel);Directrice ???                                                           ecole maternelle Olympe de Gouges                      <br>151 Rue Jean Moulin, 34830 Clapiers;3.888072;43.6551936;#icon-1899-0288D1;151 Rue Jean Moulin, 34830 Clapiers;;;
74;ALSH municipal Clapiers (élémentaire);Annexe école Victor Hugo                                           Rue du bosc, 34830 Clapiers;3.8875469;43.6583432;#icon-1899-0288D1;Rue du bosc, 34830 Clapiers;;;
75;ALSH municpal Le Crès (maternel & élémentaire);Directeur ??? 04 67 41 95 49  ou  04 67 52 71 22   28 avenue des Cevennes 34920 LE CRES.;3.9412096;43.6475406;#icon-1899-0288D1;28 avenue des Cevennes, 34920 LE CRES;04 67 41 95 49  ;;
76;ALSH municipal Castelnau-le-Lez (maternel & élémentaire);Directeur Marie-Pierre ALINAT 04.67.14.27.92       213 Chemin des Mendrous, 34170 Castelnau-le-Lez;3.9147117;43.6367029;#icon-1899-0288D1;213 Chemin des Mendrous, 34170 Castelnau-le-Lez;04 67 14 27 92;;
77;ALSH municipal Saint Aunès;Directeur Ugo Bianchin                                                Place de l' escolette;3.9652054;43.6366785;#icon-1899-0288D1;Place de l' escolette, 34130 Saint-Aunès;;;
78;ALSH intercommunal Castries (maternel & élmentaire);SIVOM  Castries-Beaulieu-Restinclières-Sussargues-St Genies                                        ALSH de Fondespierre                                         Domaine de Fondespierre<br>Route de Fontmarie - 34160 CASTRIES<br>Tél. : 04 67 87 30 15 ;3.9936403;43.6945671;#icon-1899-0288D1;Route de Fontmarie, 34160 CASTRIES;04 67 87 30 15;;
79;ALSH municipal Saint Georges d'orques (maternel);Directrice Mélanie VERRET                                          04 67 40 57 12 ou  06 20 18 73 10  alsh.maternel@ville-st-georges-dorques.fr             2 avenue d'Occitanie<br>Maison de la petite enfance Françoise Dolto;3.7875222;43.6084717;#icon-1899-0288D1;2 avenue d'Occitanie, 34680 Saint-Georges-d'Orques;04 67 40 57 12;alsh.maternel@ville-st-georges-dorques.fr;
80;ALSH municipal Saint Georges d'orques (élémentaire);Xavier MEROU<br>04 67 45 59 47 ou 06 22 67 39 44<br>clsh.primaire@ville-st-georges-dorques.fr              avenue des Jardins;3.7830133;43.6088205;#icon-1899-0288D1;avenue des Jardins, 34680 Saint-Georges-d'Orques;04 67 45 59 47;clsh.primaire@ville-st-georges-dorques.fr;
81;ALSH municipal Saint Gély du Fesc (maternel & élémentaire);Directrice Alexandra Rey / Isabelle FABRE          04 67 66 64 88<br>06 71 67 21 78                                                              mairie.alshlesgalopins@saintgelydufesc.com Écoles Valène et Rompude, 70 rue Rompude;3.8004523;43.6948565;#icon-1899-0288D1;70 rue Rompude, 34980 Saint-Gély-du-Fesc;04 67 66 64 88;mairie.alshlesgalopins@saintgelydufesc.com;
82;ALSH municipal Saint Clément de rivière (élémentaire);Directeur ???            04.67.84.49.60                           clsh@saint-clement-de-riviere.fr                             sentier du bélier;3.8490193;43.6858576;#icon-1899-0288D1;;04.67.84.49.60;clsh@saint-clement-de-riviere.fr;
83;ALSH municipal Saint Jean de védas (maternel & élémentaire);Directeur ??? 04 99 52 20 62                                  rue de la combe;3.8249872;43.566999;#icon-1899-0288D1;rue de la combe, 34430 Saint-Jean-de-Védas;04 99 52 20 62;;
84;ALSH municipal Lavérune (maternel & élémentaire);Directeurs Aline TOFHA, Olivier DELMAS    04.99.51.20.17                                                   Avenue du chateau;3.8021772;43.5847556;#icon-1899-0288D1;Avenue du château, 34880 Lavérune;04 99 51 20 17;;
85;ALSH intercommunal de Mauguio (maternel & élémentaire);Directrice Solange FRANCO                                      Tél: 04 67 91 20 89 - maison.des.loisirs@paysdelor.fr                        chemin de Bentenac (route des cabanes) à Mauguio;4.0179168;43.6055575;#icon-1899-0288D1;chemin de Bentenac, 34130 Mauguio;04 67 91 20 89;maison.des.loisirs@paysdelor.fr;
86;ALSH intercommunal Palavas les flots (maternel & élémentaire);Directeur ???                                                            Tél : 04 67 20 18 35 - clsh.palavas@paysdelor.fr   Rue de la Tramontane (près du parc du Leban);3.933255;43.531469;#icon-1899-0288D1;Rue de la Tramontane, 34250 Palavas-les-Flots;04 67 20 18 35;clsh.palavas@paysdelor.fr;
87;ALSH intercommunal de La Grande motte (maternel & élémentaire);Directeur ???                                                              Tél: 04 67 56 08 10 - clsh.lgm@paysdelor.fr      98 rue Saint-Louis, La Grande Motte;4.0995064;43.5594089;#icon-1899-0288D1;98 rue Saint-Louis, 34280 La Grande Motte;04 67 56 08 10;clsh.lgm@paysdelor.fr;
88;ALSH intercommunal Valergues (maternel & élémentaire);Directeur ???                      04 67 63 47 05 - clsh.valergues@paysdelor.fr                                  105 avenue Frédéric Mistral à Valergues.;4.06252;43.6672191;#icon-1899-0288D1;105 avenue Frédéric Mistral, 34130 Valergues;04 67 63 47 05;clsh.valergues@paysdelor.fr;
89;ALSH municipal Baillargues (maternel & élémentaire);Directeur ???                  04 67 87 41 93 / 95<br>sportetjeunesse@ville-baillargues.fr                  Maison de l’Enfance André Valto<br>10 rue de la Chicane | 34670 Baillargues;4.0121985;43.6592717;#icon-1899-0288D1;10 rue de la Chicane, 34670 Baillargues;04 67 87 41 93 / 95;sportetjeunesse@ville-baillargues.fr;
90;ALSH municipal Lattes (maternel & élémentaire);Direction Milan PRICHYSTAL ou Loréna AGNESE 06 15 77 50 56  centre.loisirs@ville-lattes.fr<br>avenue de Fréjorgues – 34970 LATTES;3.9109348;43.5694311;#icon-1899-0288D1;avenue de Fréjorgues, 34970 LATTES;06 15 77 50 56;centre.loisirs@ville-lattes.fr;
91;ALSH municipal Murviel-les-montpellier (maternel & élémentaire);Directeur ???                                                             Rue Lucie et Raymond Aubrac<br>34570 Murviel Les Montpellier<br>Tel : 04.67.47.68.65;3.7353312;43.6045681;#icon-1899-0288D1;Rue Lucie et Raymond Aubrac, 34570 Murviel Les Montpellier;04 67 47 68 65;;
92;ALSH municipal Pérols (maternel & élémentaire);Directeur ???                                                        Centre Xavier Landry Rue des flamants roses - 34470 Pérols<br>Tél. : 04 67 50 45 45;3.952706;43.5658392;#icon-1899-0288D1;Rue des flamants roses, 34470 Pérols;04 67 50 45 45;;
93;ALSH municipal Pignan (maternal & élémentaire);Isabelle David, Responsable ALAE/ALSH Maternel - 06 71 32 15 90<br>Killy Hernando, Responsable ALAE/ALSH Primaire - 06 25 39 30 15;3.7611531;43.5820801;#icon-1899-0288D1;;06 71 32 15 90;;
94;ALSH municipal Fabrègues (maternel & élémentaire);Directeur ???                                                           150, rue Georges-Pompidou - ✆ 04 67 85 43 62<br>alsh@fabregues.fr;3.7812039;43.5559572;#icon-1899-0288D1;"150 rue Georges-Pompidou, 34690
Fabrègues";04 67 85 43 62;alsh@fabregues.fr;
95;ALSH associatif APUM Fac de sciences (maternel & élémentaire);Directeur DORAND 06.52.21.85.75                     cle-apum@umontpellier.fr                                          Place Eugène-Bataillon Case courrier 098<br>34095 Montpellier Cedex<br>Téléphone : <br>04 67 14 30 99;3.8607745;43.6352557;#icon-1502-7CB342;Place Eugène-Bataillon Case courrier 098, 34095 Montpellier Cedex;04 67 14 30 99;cle-apum@umontpellier.fr;
96;ALSH municipal Villeneuve-les-maguelone;Directeur ???                                                                 2 place des Héros<br>34750 Villeneuve-lès-Maguelone<br>Tél. : 04 67 69 75 70;3.8611368;43.5334869;#icon-1899-0288D1;2 place des Héros, 34750 Villeneuve-lès-Maguelone;04 67 69 75 70;;
97;ALSH municipal Grabels (maternel & élémentaire);Directeur ???                                                                 15 impasse du Picadou (en face de l’école de musique) 34790 Grabels<br>Tél : 04.67.79.71.85 - 07.78.87.81.93;3.8019851;43.6448503;#icon-1899-0288D1;15 impasse du Picadou, 34790 Grabels;04 67 79 71 85;;
98;ALSH municipal Montarnaud (maternel & élémentaire);Directrice ???                                                               04 67 55 75 68    service.jeunesse@montarnaud.fr;3.6928577;43.650152;#icon-1899-0288D1;;;;
99;ALSH municipal Cournonterral (maternel & élémentaire);Directeur ???  Adresse ???                                      ALSH maternel 06 74 62 56 43<br>ALSH primaire 06 85 03 38 93<br>centreloisirs@ville-cournonterral.fr;3.719578;43.558067;#icon-1899-0288D1;;;centreloisirs@ville-cournonterral.fr;
100;ALSH municipal Combaillaux (maternel & élémentaire);Directrice Manseur Malika au 06 78 04 14 94    adresse ???;3.766372;43.677099;#icon-1899-0288D1;;;;
101;ALSH municipal les Matelles (maternel & élémentaire);Adresse ???                                  alsh@mairiedesmatelles.fr Accueil de Loisirs (Simon)<br>06 34 05 39 62;3.8117928;43.7306886;#icon-1899-0288D1;;;alsh@mairiedesmatelles.fr;
102;ALSH municipal Saint Matthieu de treviers (maternel & élémentaire);"Directeur ???                                                                 Le mazet<br>Centre Commercial ""Le Terrieu""";3.8695617;43.7628705;#icon-1899-0288D1;;;;
103;Accueil l'Ecolothèque;Mas de Grille, 1 rue Théophraste Renaudot, 34430 Saint-Jean-de-Védas<br>Téléphone : 04 99 52 82 82;3.852426;43.5727501;#icon-1582-0288D1;Mas de Grille, 1 rue Théophraste Renaudot, 34430 Saint-Jean-de-Védas;04 99 52 82 82;;
